Date,Forecast_Sales
2010-02-05,47747696.4951324
2010-02-12,48480240.24186491
2010-02-19,47125787.04038092
2010-02-26,45914018.38302997
2010-03-05,45622254.37469668
2010-03-12,45557312.47809529
2010-03-19,45223845.87921734
2010-03-26,45126526.05506533
2010-04-02,45809862.85612781
2010-04-09,46754507.09794165
2010-04-16,46824515.55783078
2010-04-23,45733243.71767277
2010-04-30,44557825.38014362
2010-05-07,44556993.39583837
2010-05-14,45748929.28925016
2010-05-21,46995004.641770504
2010-05-28,47399255.37917073
2010-06-04,47228354.029137604
2010-06-11,47298319.54924522
2010-06-18,47779353.961123906
2010-06-25,48006177.60158626
2010-07-02,47436382.535020314
2010-07-09,46394900.197619624
2010-07-16,45646234.42405055
2010-07-23,45477207.01337084
2010-07-30,45564324.57677024
2010-08-06,45687635.678880446
2010-08-13,46107134.91978877
2010-08-20,46943345.09540465
2010-08-27,47487592.13287579
2010-09-03,46701208.63550246
2010-09-10,44571460.69846218
2010-09-17,42557868.50668823
2010-09-24,42227542.03892057
2010-10-01,43500386.842424884
2010-10-08,44696474.2900519
2010-10-15,44526210.34226199
2010-10-22,43685088.010006666
2010-10-29,44034998.66934802
2010-11-05,46311055.19170607
2010-11-12,49243373.10037417
2010-11-19,51297834.62189825
2010-11-26,52834344.42850767
2010-12-03,55679518.55371176
2010-12-10,60250483.88084396
2010-12-17,63727507.678895086
2010-12-24,62067758.24079559
2010-12-31,54254728.12934389
2011-01-07,44200413.02281112
2011-01-14,37847358.9827345
2011-01-21,38145358.633107156
2011-01-28,42889391.71813668
2011-02-04,47355551.70135758
2011-02-11,48669698.46372468
2011-02-18,47515747.06376046
2011-02-25,46169306.53061534
2011-03-04,45747114.009641655
2011-03-11,45711509.88836731
2011-03-18,45419445.1486168
2011-03-25,45229449.88592677
2011-04-01,45784405.800245956
2011-04-08,46774769.95303234
2011-04-15,47071973.47874222
2011-04-22,46149641.29840282
2011-04-29,44887613.15684673
2011-05-06,44638702.368887976
2011-05-13,45691509.98221475
2011-05-20,47029425.02966976
2011-05-27,47607206.52520706
2011-06-03,47486482.81612765
2011-06-10,47479948.87933135
2011-06-17,47929789.083512425
2011-06-24,48269490.31082933
2011-07-01,47853162.45891233
2011-07-08,46848128.238612376
2011-07-15,46012576.20974057
2011-07-22,45761968.423987
2011-07-29,45841743.56541583
2011-08-05,45959049.5614536
2011-08-12,46308618.52331378
2011-08-19,47105272.53552163
2011-08-26,47794059.6624
2011-09-02,47300680.087428756
2011-09-09,45346406.77062379
2011-09-16,43181489.83787927
2011-09-23,42503923.07417758
2011-09-30,43595669.70441384
2011-10-07,44951308.77600659
2011-10-14,45044785.17055629
2011-10-21,44200344.57167016
2011-10-28,44232931.88327828
2011-11-04,46219248.08116749
2011-11-11,49183758.037934095
2011-11-18,51446312.95988363
2011-11-25,52960960.81983258
2011-12-02,55467592.95527179
2011-12-09,59854327.531507894
2011-12-16,63850180.21426942
2011-12-23,63327178.49183652
2011-12-30,56463261.67705443
2012-01-06,46371035.665912524
2012-01-13,39005024.550589144
2012-01-20,38143931.490441084
2012-01-27,42433714.22120823
2012-02-03,47264926.998827
2012-02-10,49189893.11605477
2012-02-17,48318327.08764841
2012-02-24,46870318.22947039
2012-03-02,46291722.18444065
2012-03-09,46257796.55729897
2012-03-16,46017170.97788792
2012-03-23,45751156.24994127
2012-03-30,46159516.69707672
2012-04-06,47147178.88849721
2012-04-13,47644273.43437053
2012-04-20,46913053.11886133
2012-04-27,45603528.763002224
2012-05-04,45107652.7822274
2012-05-11,45976111.540206894
2012-05-18,47360239.48809931
2012-05-25,48105917.18457336
2012-06-01,48056348.677221276
2012-06-08,47976756.10900732
2012-06-15,48365867.19664877
2012-06-22,48786239.20508317
2012-06-29,48520671.329808384
2012-07-06,47570447.13355451
2012-07-13,46653448.36619665
2012-07-20,46302235.12539217
2012-07-27,46354768.781923324
2012-08-03,46464967.63905103
2012-08-10,46745296.6802277
2012-08-17,47475286.95081828
2012-08-24,48261463.385510445
2012-08-31,48040954.71818085
2012-09-07,46296421.37262501
2012-09-14,44031294.31018731
2012-09-21,43007929.225935414
2012-09-28,43856368.38535286
2012-10-05,45308272.9390225
2012-10-12,45668089.26821438
2012-10-19,44876326.29401931
2012-10-26,44621267.201392174
